X,Y,field_1,Latitude,Longitude,layer,path
-3.3925736057815,5.373832905294,33,5.373832905294000,-3.392573605781500,27,D:\DATA_\Points_D5\27.shp|layername=27
-3.3927146330265,5.373919501606,59,5.373919501606000,-3.392714633026500,27,D:\DATA_\Points_D5\27.shp|layername=27
-3.3924436464975,5.373759548914,60,5.373759548914000,-3.392443646497500,27,D:\DATA_\Points_D5\27.shp|layername=27
-3.3927878243815,5.37363466415,63,5.373634664150000,-3.392787824381500,27,D:\DATA_\Points_D5\27.shp|layername=27
-3.3926528666635,5.37371696643,45,5.373716966430000,-3.392652866663500,27,D:\DATA_\Points_D5\27.shp|layername=27
-3.3927157041195,5.373759548914,65,5.373759548914000,-3.392715704119500,27,D:\DATA_\Points_D5\27.shp|layername=27
-3.3925100542635,5.37363108579,66,5.373631085790000,-3.392510054263500,27,D:\DATA_\Points_D5\27.shp|layername=27
-3.3924407902495,5.373593870846,72,5.373593870846000,-3.392440790249500,27,D:\DATA_\Points_D5\27.shp|layername=27
-3.3924350777535,5.373914849738,58,5.373914849738000,-3.392435077753500,27,D:\DATA_\Points_D5\27.shp|layername=27
-3.3925857448355,5.373753465702,83,5.373753465702000,-3.392585744835500,27,D:\DATA_\Points_D5\27.shp|layername=27
-3.3925150526975,5.37378853363,90,5.373788533630000,-3.392515052697500,27,D:\DATA_\Points_D5\27.shp|layername=27
-3.3922255005565,5.374202549882,4,5.374202549882002,-3.392225500556500,28,D:\DATA_\Points_D5\28.shp|layername=28
-3.3925732487505,5.373916638918,64,5.373916638918002,-3.392573248750500,27,D:\DATA_\Points_D5\27.shp|layername=27
-3.3921594498215,5.373919501606,13,5.373919501606000,-3.392159449821500,28,D:\DATA_\Points_D5\28.shp|layername=28
-3.3921508810775,5.374245132366,16,5.374245132366000,-3.392150881077500,28,D:\DATA_\Points_D5\28.shp|layername=28
-3.3920880436215,5.374279484622,18,5.374279484622002,-3.392088043621500,28,D:\DATA_\Points_D5\28.shp|layername=28
-3.3925818174945,5.37359351301,78,5.373593513010000,-3.392581817494500,27,D:\DATA_\Points_D5\27.shp|layername=27
-3.3922237154015,5.374276621934,22,5.374276621934000,-3.392223715401500,28,D:\DATA_\Points_D5\28.shp|layername=28
-3.3923679559255,5.373957790058,24,5.373957790058000,-3.392367955925500,28,D:\DATA_\Points_D5\28.shp|layername=28
-3.3922969067565,5.374249426398,26,5.374249426398000,-3.392296906756500,28,D:\DATA_\Points_D5\28.shp|layername=28
-3.3923683129565,5.374285209998,12,5.374285209998002,-3.392368312956500,28,D:\DATA_\Points_D5\28.shp|layername=28
